,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
2503,2503,2503,2011,A Dance with Dragons,['George R.R. Martin'],Fantasy,1,1,10,58,122,103,4.074829931972789,4.37,5169097.0,189080.0,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons?from_choice=true,148.0,English,,,,
2526,2526,2526,2011,Pirate King,['Laurie R. King'],Mystery & Thriller,0,11,42,109,97,38,3.3670033670033668,4.04,315382.0,26198.0,https://www.goodreads.com/book/show/9970915-pirate-king?from_choice=true,340.0,English,,,,
2542,2542,2542,2011,Forever,['Maggie Stiefvater'],Goodreads Author,0,9,18,70,98,98,3.880546075085325,3.99,1413364.0,136366.0,https://www.goodreads.com/book/show/9409458-forever?from_choice=true,148.0,English,,,,
2639,2639,2639,2011,Hounded,['Kevin Hearne'],Paranormal Fantasy,0,0,11,49,124,115,4.147157190635451,4.17,426946.0,27298.0,https://www.goodreads.com/book/show/9533378-hounded?from_choice=true,218.0,English,,,,
2640,2640,2640,2011,A Dance with Dragons,['George R.R. Martin'],Favorite Book of 2011,0,1,10,58,122,103,4.074829931972789,4.37,5169097.0,189080.0,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons?from_choice=true,148.0,English,,,,
2648,2648,2648,2011,Forever,['Maggie Stiefvater'],Favorite Book of 2011,0,9,18,70,98,98,3.880546075085325,3.99,1413364.0,136366.0,https://www.goodreads.com/book/show/9409458-forever?from_choice=true,148.0,English,,,,
2662,2662,2662,2016,Black Panther #1,"['Ta-Nehisi Coates', 'Brian Stelfreeze']",Graphic Novels & Comics,0,2,10,74,127,84,3.9461279461279455,,,,https://www.goodreads.com/book/show/29812803-black-panther-1?from_choice=true,244.0,B01BCPZBWI,0.0,inf,inf,0.0
2663,2663,2663,2016,"The Wicked + The Divine, Vol. 3: Commercial Suicide","['Kieron Gillen', 'Jamie McKelvie', 'Tula Lotay', 'Kate Brown', 'Stephanie Hans', 'Leila del Duca', 'Brandon Graham']",Graphic Novels & Comics,0,5,31,103,110,51,3.57,,,,https://www.goodreads.com/book/show/25853351-the-wicked-the-divine-vol-3?from_choice=true,,,,,,
2673,2673,2673,2016,"Monstress, Vol. 1: Awakening","['Marjorie M. Liu', 'Sana Takeda']",Graphic Novels & Comics,0,1,9,36,108,144,4.2919463087248335,3.97,177922.0,15629.0,https://www.goodreads.com/book/show/29396738-monstress-vol-1?from_choice=true,140.0,English,,,,
2733,2733,2733,2016,The Hating Game,['Sally  Thorne'],Romance,0,4,16,26,93,157,4.293918918918919,4.04,123177.0,19386.0,https://www.goodreads.com/book/show/27213238-the-hating-game?from_choice=true,119.0,English,,,,
2753,2753,2753,2016,Stuff Ive Been Feeling Lately,['Alicia Cook'],Poetry,0,1,11,14,32,53,4.126126126126128,3.85,3401.0,614.0,https://www.goodreads.com/book/show/29059581-stuff-ive-been-feeling-lately?from_choice=true,,,,,,
2757,2757,2757,2016,Then Come Back: The Lost Neruda Poems,"['Pablo Neruda', 'Forrest Gander']",Poetry,0,1,2,19,48,67,4.299270072992701,4.31,127889.0,6627.0,https://www.goodreads.com/book/show/26196204-then-come-back?from_choice=true,217.0,English,,,,
2767,2767,2767,2016,24690,"['A.A. Dark', 'Alaska Angelini']",Horror,0,7,9,47,82,154,4.22742474916388,4.01,10408.0,1679.0,https://www.goodreads.com/book/show/32198636-24690?from_choice=true,144.0,English,,,,
2784,2784,2784,2016,Empire of Storms,['Sarah J. Maas'],Young Adult Fantasy,0,8,5,13,45,209,4.5785714285714265,4.4,2692049.0,275178.0,https://www.goodreads.com/book/show/28260587-empire-of-storms?from_choice=true,91.0,English,,,,
2860,2860,2860,2016,The Obelisk Gate,['N.K. Jemisin'],Fantasy,0,6,2,20,117,153,4.37248322147651,4.18,350231.0,38158.0,https://www.goodreads.com/book/show/26228034-the-obelisk-gate?from_choice=true,110.0,English,,,,
