,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daystocom,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
945,945,945,2015,The Deep,['Nick Cutter'],Horror,0,0.037162162162162164,0.11148648648648647,0.2905405405405405,0.35135135135135137,0.20945945945945946,3.58445945945946,3.64,35591.0,6501.0,https://www.goodreads.com/book/show/21412284-the-deep?from_choice=true,322.0,1476717737,0.0,inf,inf,0.0
946,946,946,2015,Extinction Horizon,['Nicholas Sansbury Smith'],Horror,0,0.02,0.043333333333333335,0.12333333333333335,0.3633333333333333,0.45,4.18,4.13,48923.0,5059.0,https://www.goodreads.com/book/show/24156733-extinction-horizon?from_choice=true,337.0,B00QJKUF1E,0.0,inf,inf,0.0
947,947,947,2015,Suicide Forest,['Jeremy Bates'],Horror,0,0.04697986577181208,0.05704697986577181,0.19798657718120805,0.412751677852349,0.28523489932885904,3.8322147651006713,3.74,17379.0,2011.0,https://www.goodreads.com/book/show/26269034-suicide-forest?from_choice=true,281.0,0993764681,0.0,inf,inf,0.0
948,948,948,2015,The Annihilation Score,['Charles Stross'],Horror,0,0.010067114093959731,0.05704697986577181,0.2516778523489933,0.4966442953020134,0.18456375838926176,3.7885906040268456,3.9,220925.0,14620.0,https://www.goodreads.com/book/show/24000506-the-annihilation-score?from_choice=true,147.0,0425281175,0.0,inf,inf,0.0
949,949,949,2015,Alice,['Christina Henry'],Horror,0,0.020134228187919462,0.06375838926174497,0.1812080536912752,0.3926174496644295,0.3422818791946309,3.9731543624161074,3.92,71742.0,9414.0,https://www.goodreads.com/book/show/23398606-alice?from_choice=true,119.0,0425266796,0.0,inf,inf,0.0
950,950,950,2015,Thicker Than Blood,"['Madeline Sheehan', 'Claire C. Riley']",Horror,0,0.017241379310344827,0.010344827586206895,0.11379310344827588,0.2620689655172414,0.596551724137931,4.410344827586207,4.19,127481.0,12364.0,https://www.goodreads.com/book/show/23573808-thicker-than-blood?from_choice=true,323.0,1505972612,0.0,inf,inf,0.0
951,951,951,2015,Day Four,['Sarah Lotz'],Horror,0,0.020066889632107024,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.2107023411371237,3.688963210702341,3.35,21254.0,3586.0,https://www.goodreads.com/book/show/23341590-day-four?from_choice=true,168.0,0316242942,0.0,inf,inf,0.0
952,952,952,2015,The Scarlet Gospels,['Clive Barker'],Horror,0,0.02348993288590604,0.1342281879194631,0.3221476510067114,0.3120805369127517,0.2080536912751678,3.5469798657718123,4.09,500414.0,19630.0,https://www.goodreads.com/book/show/23014674-the-scarlet-gospels?from_choice=true,196.0,1250055806,1.0,9.0,9.0,1.0
953,953,953,2015,Follow You Home,['Mark  Edwards'],Horror,0,0.02373887240356083,0.03560830860534125,0.18991097922848665,0.35014836795252224,0.400593471810089,4.068249258160237,3.95,151552.0,11538.0,https://www.goodreads.com/book/show/24833801-follow-you-home?from_choice=true,154.0,1503944379,0.0,inf,inf,0.0
954,954,954,2015,Slade House,['David Mitchell'],Horror,0,0.006688963210702341,0.043478260869565216,0.19732441471571907,0.5250836120401338,0.2274247491638796,3.9230769230769234,3.94,496599.0,52760.0,https://www.goodreads.com/book/show/24499258-slade-house?from_choice=true,35.0,0812998685,2.0,15.0,11.0,2.0
955,955,955,2015,The Border,['Robert R. McCammon'],Horror,0,0.01694915254237288,0.06440677966101695,0.2406779661016949,0.4101694915254237,0.2677966101694915,3.8474576271186436,4.1,183716.0,12979.0,https://www.goodreads.com/book/show/25481524-the-border?from_choice=true,190.0,B00WRKB1D6,0.0,inf,inf,0.0
956,956,956,2015,Red Queen,['Victoria Aveyard'],Young Adult Fantasy,0,0.02097902097902098,0.09090909090909093,0.17482517482517482,0.3881118881118881,0.3251748251748252,3.905594405594405,3.99,844039.0,78860.0,https://www.goodreads.com/book/show/22328546-red-queen?from_choice=true,294.0,0062310631,0.0,inf,inf,0.0
