year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating
2013,Wallbanger,['Alice Clayton'],Humor,0,2,2,18,119,156,4.430976430976431
2013,To Be or Not To Be: A Chooseable-Path Adventure,['Ryan North'],Humor,0,3,9,49,94,144,4.2274247491638794
2013,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",['Allie Brosh'],Humor,1,0,1,26,112,160,4.441471571906354
2013,Wedding Night,['Sophie Kinsella'],Humor,0,9,44,108,100,36,3.3703703703703702
2013,Parenting: Illustrated with Crappy Pictures,['Amber Dusick'],Humor,0,1,6,36,104,151,4.3355704697986575
2013,"Still Foolin' 'Em: Where I've Been, Where I'm Going, and Where the Hell Are My Keys",['Billy Crystal'],Humor,0,4,13,85,122,73,3.8316498316498318
2013,Let's Explore Diabetes with Owls,['David Sedaris'],Humor,0,1,5,76,160,58,3.8966666666666665
2013,Bad Monkey,['Carl Hiaasen'],Humor,0,1,13,104,138,43,3.698996655518395
2013,Mad About the Boy,['Helen Fielding'],Humor,0,7,43,99,102,44,3.450847457627119
2013,Adulting: How to Become a Grown-up in 468 Easy(ish) Steps,['Kelly Williams Brown'],Humor,0,2,15,73,128,81,3.9063545150501673
2013,The Last Word,['Lisa Lutz'],Humor,0,4,8,68,153,67,3.9033333333333333
2013,"William Shakespeare's Star Wars: Verily, A New Hope",['Ian Doescher'],Humor,0,3,5,59,121,109,4.104377104377105
2013,Love and Lists,['Tara Sivec'],Humor,0,0,3,19,95,182,4.525083612040134
2013,Insane City,['Dave Barry'],Humor,0,4,25,88,108,71,3.733108108108108
2013,Dad Is Fat,['Jim Gaffigan'],Humor,0,2,19,100,123,54,3.697986577181208
2013,Man Up!: Tales of My Delusional Self-Confidence,"['Ross Mathews', 'Gwyneth Paltrow', 'Chelsea Handler']",Humor,0,2,6,66,135,90,4.0200668896321075
2013,"The Tao of Martha: My Year of LIVING; Or, Why I'm Never Getting All That Glitter Off of the Dog",['Jen Lancaster'],Humor,0,1,18,73,117,89,3.922818791946309
2013,Si-cology 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,"['Si Robertson', 'Mark Schlabach']",Humor,0,1,9,63,107,119,4.117056856187291
2013,Love & Misadventure,['Lang Leav'],Poetry,0,5,12,35,75,173,4.33
2013,Black Aperture,['Matt Rasmussen'],Poetry,0,0,4,13,49,57,4.2926829268292686
2013,Unexplained Fevers,['Jeannine Hall Gailey'],Poetry,0,0,0,6,5,19,4.433333333333334
2013,Bough Down,['Karen Green'],Poetry,0,2,3,25,44,87,4.3105590062111805
2013,The World Will Follow Joy: Turning Madness into Flowers (New Poems),['Alice Walker'],Poetry,0,3,2,19,27,25,3.9078947368421053
2013,Salt,['Nayyirah Waheed'],Poetry,0,0,0,9,14,43,4.515151515151516
2013,Hysteria,['Stephanie M. Wytovich'],Poetry,0,1,3,1,2,22,4.413793103448276
2013,I Will Never Be Beautiful Enough to Make Us Beautiful Together,['Mira González'],Poetry,0,1,10,13,45,71,4.25
2013,Dog Songs,"['Mary Oliver', 'John  Burgoyne']",Poetry,0,1,11,62,124,100,4.043624161073826
2013,The Fall of Arthur,"['J.R.R. Tolkien', 'Christopher Tolkien']",Poetry,1,4,25,89,112,66,3.7128378378378377
2013,Survival Songs,['Meggie Royer'],Poetry,0,3,5,19,47,135,4.464114832535885
2013,"Egghead; or, You Can't Survive on Ideas Alone","['Bo Burnham', 'Chance Bone']",Poetry,0,3,19,39,97,117,4.112727272727272
2013,"Love, Dishonor, Marry, Die, Cherish, Perish","['David Rakoff', 'Seth']",Poetry,0,4,7,54,109,126,4.153333333333333
2013,Incarnadine: Poems,['Mary Szybist'],Poetry,0,2,6,27,38,45,4.0
2013,Metaphysical Dog,['Frank Bidart'],Poetry,0,0,6,22,27,41,4.072916666666667
2013,The Anatomy of Being,['Shinji Moon'],Poetry,0,1,1,19,44,154,4.593607305936073
2013,Aimless Love: New and Selected Poems,['Billy Collins'],Poetry,0,1,10,39,136,111,4.164983164983165
2013,The Boss,['Victoria Chang'],Poetry,0,0,1,8,10,14,4.121212121212121
2013,Red Doc>,['Anne Carson'],Poetry,0,3,12,43,118,117,4.139931740614334
2013,Songbook for Haunted Boys and Girls,['Wayne McNeill'],Poetry,0,0,1,2,4,10,4.352941176470588
2013,Extinction Machine,['Jonathan Maberry'],Horror,0,1,5,37,125,132,4.273333333333333
2013,Shattered Hourglass,['J.L. Bourne'],Horror,0,2,36,103,94,65,3.6133333333333333
2013,White Trash Zombie Apocalypse,"['Diana Rowland', 'Daniel Dos Santos']",Horror,0,0,11,67,136,81,3.9728813559322034
2013,Parasite,['Mira Grant'],Horror,0,2,13,64,146,69,3.9081632653061225
2013,Red Moon,['Benjamin Percy'],Horror,0,17,39,92,100,49,3.420875420875421
2013,Fractured,['D.J. Molles'],Horror,0,3,2,25,139,160,4.37082066869301
2013,Help for the Haunted,['John Searles'],Horror,0,5,17,81,124,70,3.797979797979798
2013,Ex-Communication,['Peter Clines'],Horror,0,0,1,31,159,108,4.250836120401337
2013,The Resurrectionist: The Lost Work of Dr. Spencer Black,['E.B. Hudspeth'],Horror,0,10,61,82,96,45,3.357142857142857
2013,The Blood Gospel,"['James Rollins', 'Rebecca Cantrell']",Horror,0,4,18,55,115,106,4.010067114093959
2013,The Wolves of Midwinter,['Anne Rice'],Horror,0,17,38,97,82,66,3.473333333333333
2013,The Accursed,['Joyce Carol Oates'],Horror,0,31,59,90,81,30,3.06872852233677
2013,NOS4A2,['Joe Hill'],Horror,0,2,5,27,123,141,4.328859060402684
2013,Doctor Sleep,['Stephen King'],Horror,1,2,8,59,119,103,4.0756013745704465
2013,Red Hill,['Jamie McGuire'],Horror,0,6,16,52,102,121,4.063973063973064
2013,Deeply Odd,['Dean Koontz'],Horror,0,2,20,70,123,81,3.8817567567567566
2013,The Fate of Mercy Alban,['Wendy Webb'],Horror,0,3,25,84,148,69,3.7750759878419453
2013,Kill City Blues,['Richard Kadrey'],Horror,0,0,3,64,133,98,4.093959731543624
2013,Come Alive,['Karina Halle'],Horror,0,0,2,15,68,213,4.651006711409396
2013,American Elsewhere,['Robert Jackson Bennett'],Horror,0,10,27,64,125,72,3.7449664429530203
2013,The Darkest Minds,['Alexandra Bracken'],Young Adult Fantasy,0,2,11,41,100,136,4.231034482758621
2013,Unravel Me,['Tahereh Mafi'],Young Adult Fantasy,0,1,9,38,77,171,4.378378378378378
2013,Prodigy,['Marie Lu'],Young Adult Fantasy,0,0,3,40,126,128,4.276094276094276
2013,Clockwork Princess,['Cassandra Clare'],Young Adult Fantasy,0,1,10,26,79,180,4.4425675675675675
2013,Allegiant,['Veronica Roth'],Young Adult Fantasy,1,14,32,73,84,53,3.5078125
2013,The Rithmatist,"['Brandon Sanderson', 'Ben McSweeney']",Young Adult Fantasy,0,0,7,28,127,138,4.32
2013,Steelheart,['Brandon Sanderson'],Young Adult Fantasy,0,0,3,31,132,130,4.3141891891891895
