year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews
2013,The Sun Trail,['Erin Hunter'],Middle Grade & Children's,0,1,6,46,74,163,4.3517241379310345,4.35,844027,31116
2013,Counting by 7s,['Holly Goldberg Sloan'],Middle Grade & Children's,0,0,3,27,107,156,4.419795221843003,4.11,71657,10774
2013,Doll Bones,"['Holly Black', 'Eliza Wheeler']",Middle Grade & Children's,0,2,14,86,135,57,3.7857142857142856,3.96,1045194,111200
2013,Navigating Early,['Clare Vanderpool'],Middle Grade & Children's,0,2,7,55,125,109,4.114093959731544,4.04,40592,6535
2013,The Girl Who Soared Over Fairyland and Cut the Moon in Two,"['Catherynne M. Valente', 'Ana Juan']",Middle Grade & Children's,0,0,4,62,106,125,4.185185185185185,3.92,139365,23446
2013,Trust No One,['Linda Sue Park'],Middle Grade & Children's,0,2,4,53,115,125,4.193979933110368,4.03,178611,14782
2013,Loki's Wolves,"['K.L. Armstrong', 'M.A. Marr', 'Vivienne To']",Middle Grade & Children's,0,12,23,79,95,80,3.7197231833910034,3.98,13738,1603
2013,The Royal Ranger,['John Flanagan'],Middle Grade & Children's,0,2,5,35,101,151,4.340136054421769,4.32,790927,30030
2013,Prisoner B-3087,['Alan Gratz'],Middle Grade & Children's,0,2,5,52,127,108,4.136054421768708,4.39,63562,11793
2013,Tales from a Not-So-Happy Heartbreaker,['Rachel Renée Russell'],Middle Grade & Children's,0,5,8,21,42,219,4.566101694915254,4.31,265205,12376
2013,The Runaway King,['Jennifer A. Nielsen'],Middle Grade & Children's,0,1,9,42,121,122,4.2,4.2,169929,22546
2013,"Fortunately, the Milk","['Neil Gaiman', 'Skottie Young']",Middle Grade & Children's,0,0,3,46,120,127,4.253378378378378,4.05,107534,11904
2013,The Screaming Staircase,['Jonathan Stroud'],Middle Grade & Children's,0,0,4,26,128,140,4.355704697986577,4.14,385949,22544
2013,The House of Hades,['Rick Riordan'],Middle Grade & Children's,1,2,4,30,84,177,4.447811447811448,4.32,7600164,302504
2013,Escape from Mr. Lemoncello's Library,['Chris Grabenstein'],Middle Grade & Children's,0,4,7,65,127,124,4.10091743119266,4.09,121205,16003
2013,Eighty Days: Nellie Bly and Elizabeth Bisland's History-Making Race Around the World,['Matthew Goodman'],History & Biography,0,6,26,77,132,55,3.689189189189189,3.71,5800,1047
2013,Jim Henson: The Biography,['Brian Jay Jones'],History & Biography,1,1,11,53,116,115,4.125,4.03,13093,1730
