,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
44,44,44,2013,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"['Malala Yousafzai', 'Christina Lamb']",Memoir & Autobiography,1,2,3,48,121,126,4.22,4.12,380641.0,22550.0,https://www.goodreads.com/book/show/17851885-i-am-malala?from_choice=true,57.0,0316322407,0.0,inf,inf,0.0
45,45,45,2013,The Dark,"['Lemony Snicket', 'Jon Klassen']",Picture Books,0,0,11,39,122,126,4.218120805369128,3.97,1857081.0,68312.0,https://www.goodreads.com/book/show/15790852-the-dark?from_choice=true,246.0,0316187488,0.0,inf,inf,0.0
46,46,46,2013,Chu's Day,"['Neil Gaiman', 'Adam Rex']",Picture Books,0,4,14,81,134,64,3.808080808080808,4.13,5564484.0,334441.0,https://www.goodreads.com/book/show/15727792-chu-s-day?from_choice=true,337.0,0062017810,0.0,inf,inf,0.0
47,47,47,2013,The Matchbox Diary,"['Paul Fleischman', 'Bagram Ibatoulline']",Picture Books,0,6,11,39,114,128,4.164429530201343,4.28,86539.0,11453.0,https://www.goodreads.com/book/show/15798648-the-matchbox-diary?from_choice=true,267.0,0763646016,0.0,inf,inf,0.0
48,48,48,2013,Deck the Walls: A Wacky Christmas Carol,"['Erin Dealey', 'Nick Ward']",Picture Books,0,0,0,18,15,19,4.019230769230768,3.85,1574.0,327.0,https://www.goodreads.com/book/show/17655209-deck-the-walls?from_choice=true,94.0,1627530673,0.0,inf,inf,0.0
49,49,49,2013,Open This Little Book,"['Jesse Klausmeier', 'Suzy Lee']",Picture Books,0,0,11,35,109,142,4.286195286195286,4.07,9351.0,1688.0,https://www.goodreads.com/book/show/13792593-open-this-little-book?from_choice=true,337.0,0811867838,0.0,inf,inf,0.0
50,50,50,2013,That Is Not a Good Idea!,['Mo Willems'],Picture Books,0,2,8,36,133,119,4.204697986577181,4.3,479817.0,33286.0,https://www.goodreads.com/book/show/16285053-that-is-not-a-good-idea?from_choice=true,225.0,0062203096,0.0,inf,inf,0.0
51,51,51,2013,Exclamation Mark,"['Amy Krouse Rosenthal', 'Tom Lichtenheld']",Picture Books,0,8,9,21,93,168,4.351170568561873,4.13,65633.0,9214.0,https://www.goodreads.com/book/show/15815400-exclamation-mark?from_choice=true,278.0,0545436796,0.0,inf,inf,0.0
52,52,52,2013,If You Want to See a Whale,"['Julie Fogliano', 'Erin E. Stead']",Picture Books,0,8,8,57,122,102,4.016835016835016,4.16,29973.0,4604.0,https://www.goodreads.com/book/show/15953632-if-you-want-to-see-a-whale?from_choice=true,211.0,1596437316,0.0,inf,inf,0.0
53,53,53,2013,My Brother's Book,"['Maurice Sendak', 'Stephen Greenblatt']",Picture Books,0,20,38,66,98,75,3.572390572390572,4.21,994166.0,19594.0,https://www.goodreads.com/book/show/15818453-my-brother-s-book?from_choice=true,302.0,0062234897,0.0,inf,inf,0.0
54,54,54,2013,Journey,['Aaron Becker'],Picture Books,0,10,7,22,80,180,4.381270903010034,4.37,16774.0,2945.0,https://www.goodreads.com/book/show/17262290-journey?from_choice=true,120.0,0763660531,0.0,inf,inf,0.0
55,55,55,2013,Flora and the Flamingo,['Molly Idle'],Picture Books,0,4,5,37,106,146,4.2919463087248335,3.99,14566.0,2738.0,https://www.goodreads.com/book/show/15791063-flora-and-the-flamingo?from_choice=true,302.0,1452110069,0.0,inf,inf,0.0
56,56,56,2013,Unicorn Thinks He's Pretty Great,['Bob Shea'],Picture Books,0,1,10,51,136,99,4.084175084175084,3.92,32668.0,4938.0,https://www.goodreads.com/book/show/16250904-unicorn-thinks-he-s-pretty-great?from_choice=true,162.0,1423159527,0.0,inf,inf,0.0
57,57,57,2013,Mustache Baby,"['Bridget Heos', 'Joy Ang']",Picture Books,0,7,12,48,95,138,4.15,4.06,6647.0,1307.0,https://www.goodreads.com/book/show/15814439-mustache-baby?from_choice=true,204.0,0547773579,0.0,inf,inf,0.0
58,58,58,2013,On a Beam of Light: A Story of Albert Einstein,"['Jennifer  Berne', 'Vladimir Radunsky']",Picture Books,0,0,4,31,126,133,4.319727891156463,4.0,5493.0,1008.0,https://www.goodreads.com/book/show/14955390-on-a-beam-of-light?from_choice=true,225.0,0811872351,0.0,inf,inf,0.0
